Player: X; Column: 0; 38/78
Player: X; Column: 6; 1/1
Player: O; Column: 6; 6/9
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/2
Player: X; Column: 2; 2/2
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: X; Column: 2; 39/80
Player: O; Column: 0; 2/7
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 1; 6/12
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 4/4
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/2
Player: X; Column: 6; 1/2
Player: O; Column: 2; 2/7
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 1/1
Player: O; Column: 3; 12/18
Player: X; Column: 0; 2/3
Player: X; Column: 1; 0/2
Player: X; Column: 2; 1/3
Player: X; Column: 3; 0/2
Player: X; Column: 4; 0/2
Player: X; Column: 5; 1/3
Player: X; Column: 6; 2/3
Player: O; Column: 4; 8/13
Player: X; Column: 0; 0/2
Player: X; Column: 1; 0/1
Player: X; Column: 2; 2/3
Player: X; Column: 3; 1/2
Player: X; Column: 4; 1/2
Player: X; Column: 5; 0/1
Player: X; Column: 6; 1/2
Player: O; Column: 5; 6/12
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/2
Player: X; Column: 4; 3/3
Player: X; Column: 5; 1/2
Player: X; Column: 6; 1/2
Player: O; Column: 6; 5/11
Player: X; Column: 0; 1/2
Player: X; Column: 1; 0/1
Player: X; Column: 2; 2/2
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/2
Player: X; Column: 5; 2/2
Player: X; Column: 6; 0/1
Player: X; Column: 3; 23/56
Player: O; Column: 0; 6/9
Player: X; Column: 0; 0/1
Player: X; Column: 1; 2/2
Player: X; Column: 2; 1/2
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: O; Column: 1; 5/8
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 1/2
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 2; 3/7
Player: X; Column: 0; 1/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 1/1
Player: O; Column: 3; 6/9
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 2/2
Player: X; Column: 6; 0/1
Player: O; Column: 4; 3/7
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 5; 5/8
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/2
Player: X; Column: 2; 1/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: O; Column: 6; 5/8
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 2/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 1/1
Player: X; Column: 4; 27/62
Player: O; Column: 0; 7/11
Player: X; Column: 0; 1/2
Player: X; Column: 1; 1/2
Player: X; Column: 2; 1/2
Player: X; Column: 3; 1/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: O; Column: 1; 4/8
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 2/2
Player: X; Column: 3; 1/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 0/1
Player: O; Column: 2; 4/8
Player: X; Column: 0; 2/2
Player: X; Column: 1; 1/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: O; Column: 3; 2/6
Player: X; Column: 0; 1/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 0/0
Player: O; Column: 4; 4/8
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 2/2
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 0/1
Player: O; Column: 5; 5/9
Player: X; Column: 0; 2/2
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 2/2
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: O; Column: 6; 9/12
Player: X; Column: 0; 0/2
Player: X; Column: 1; 2/3
Player: X; Column: 2; 0/2
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/2
Player: X; Column: 6; 0/1
Player: X; Column: 5; 36/76
Player: O; Column: 0; 7/12
Player: X; Column: 0; 2/3
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 2/3
Player: O; Column: 1; 11/16
Player: X; Column: 0; 0/2
Player: X; Column: 1; 3/4
Player: X; Column: 2; 1/2
Player: X; Column: 3; 0/2
Player: X; Column: 4; 0/2
Player: X; Column: 5; 0/2
Player: X; Column: 6; 1/2
Player: O; Column: 2; 5/10
Player: X; Column: 0; 1/2
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 2/2
Player: X; Column: 6; 1/1
Player: O; Column: 3; 6/12
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/2
Player: X; Column: 4; 4/4
Player: X; Column: 5; 0/1
Player: X; Column: 6; 0/1
Player: O; Column: 4; 2/7
Player: X; Column: 0; 1/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 5; 5/10
Player: X; Column: 0; 2/2
Player: X; Column: 1; 1/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 2/2
Player: O; Column: 6; 4/9
Player: X; Column: 0; 1/2
Player: X; Column: 1; 2/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: X; Column: 6; 45/89
Player: O; Column: 0; 8/14
Player: X; Column: 0; 1/2
Player: X; Column: 1; 3/4
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 2/3
Player: X; Column: 6; 1/2
Player: O; Column: 1; 5/11
Player: X; Column: 0; 3/3
Player: X; Column: 1; 2/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 0/1
Player: X; Column: 6; 1/2
Player: O; Column: 2; 3/9
Player: X; Column: 0; 1/2
Player: X; Column: 1; 2/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 3; 1/7
Player: X; Column: 0; 1/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 4; 4/10
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 2/2
Player: X; Column: 3; 1/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 2/2
Player: X; Column: 6; 1/1
Player: O; Column: 5; 10/17
Player: X; Column: 0; 0/2
Player: X; Column: 1; 1/3
Player: X; Column: 2; 2/3
Player: X; Column: 3; 0/2
Player: X; Column: 4; 2/3
Player: X; Column: 5; 1/2
Player: X; Column: 6; 1/2
Player: O; Column: 6; 14/21
Player: X; Column: 0; 1/3
Player: X; Column: 1; 0/2
Player: X; Column: 2; 2/4
Player: X; Column: 3; 2/4
Player: X; Column: 4; 0/2
Player: X; Column: 5; 2/4
Player: X; Column: 6; 0/2
